Date,weight
05/08/1996,589
05/08/1996,600.7
05/08/1996,627
04/12/1996,638.7
04/12/1996,1145.6
04/12/1996,676.2
04/12/1996,589.1
04/12/1996,258.9
04/12/1996,744.2
04/12/1996,677.3
04/12/1996,639.9
04/12/1996,554.5
04/12/1996,630.8
04/12/1996,657.8
04/12/1996,628.6
04/12/1996,608.6
04/12/1996,467.3
04/12/1996,642.2
04/12/1996,1403.2
04/12/1996,301.7
04/12/1996,694.2
04/12/1996,853.2
04/12/1996,598.8
04/12/1996,918.9
04/12/1996,539.2
04/12/1996,644.5
04/12/1996,598.7
04/12/1996,499.8
04/12/1996,591.8
04/12/1996,576
04/12/1996,674.3
04/12/1996,642.7
04/12/1996,624.6
04/12/1996,666.8
25/02/1997,90.8
25/02/1997,42.8
25/02/1997,42.8
25/02/1997,38.7
25/02/1997,45.8
25/02/1997,45.3
25/02/1997,37.9
25/02/1997,39.3
25/02/1997,31.2
25/02/1997,41.5
25/02/1997,40
25/02/1997,43.3
25/02/1997,53.5
25/02/1997,32.4
25/02/1997,48.2
25/02/1997,20.5
25/02/1997,68.2
25/02/1997,37
25/02/1997,46.8
25/02/1997,56.2
25/02/1997,33.6
 02/05/1997,62.3
 02/05/1997,51.9
 02/05/1997,61.3
 02/05/1997,67.8
 02/05/1997,65.9
 02/05/1997,49.4
 02/05/1997,53.4
 02/05/1997,46.9
 02/05/1997,51.7
 02/05/1997,45.8
 02/05/1997,50.3
 02/05/1997,586.3
 02/05/1997,692
 02/05/1997,435.4
 02/05/1997,466.6
 02/05/1997,54
 02/05/1997,52
 02/05/1997,53.5
 02/05/1997,56.2
 02/05/1997,44.3
08/05/1997,71.4
08/05/1997,72.5
08/05/1997,68
08/05/1997,60.4
08/05/1997,74.6
08/05/1997,54.8
08/05/1997,68.2
08/05/1997,56.8
08/05/1997,44
08/05/1997,37.8
08/05/1997,59.3
08/05/1997,53.3
08/05/1997,60.5
08/05/1997,53.2
08/05/1997,47.9
08/05/1997,42.5
08/05/1997,60.2
08/05/1997,81.7
08/05/1997,48
08/05/1997,67.6
08/05/1997,59.4
08/05/1997,58.5
08/05/1997,49.8
08/05/1997,78.9
08/05/1997,59
08/05/1997,55.3
08/05/1997,51.6
08/05/1997,54.6
08/05/1997,66.4
08/05/1997,47.2
08/05/1997,63.4
08/05/1997,41.9
08/05/1997,54.6
08/05/1997,63.8
08/05/1997,56.4
08/05/1997,64.9
08/05/1997,59.9
08/05/1997,49.9
08/05/1997,55.2
08/05/1997,48.4
08/05/1997,53
08/05/1997,50.3
08/05/1997,38.2
08/05/1997,57.1
08/05/1997,44.2
08/05/1997,38.4
08/05/1997,61.4
08/05/1997,1.2
08/05/1997,56.6
08/05/1997,54.6
08/05/1997,54.3
08/05/1997,56.3
08/05/1997,47.4
08/05/1997,64.6
08/05/1997,58.8
08/05/1997,5.6
08/05/1997,42.8
08/05/1997,1.5
08/05/1997,44.3
08/05/1997,45
08/05/1997,63.8
08/05/1997,53.9
12/06/1997,75.6
12/06/1997,77.3
12/06/1997,76.1
12/06/1997,72.1
12/06/1997,99.6
12/06/1997,80.4
12/06/1997,65.3
12/06/1997,80.4
12/06/1997,71.5
12/06/1997,83.3
03/07/1997,77.1
03/07/1997,30.8
03/07/1997,77.8
03/07/1997,78.3
03/07/1997,87.2
03/07/1997,86.5
03/07/1997,75.3
03/07/1997,74.1
03/07/1997,78
03/07/1997,79.7
03/07/1997,85.5
03/07/1997,75.4
03/07/1997,64.9
08/08/1997,50
08/08/1997,17.4
08/08/1997,22.7
08/08/1997,32
08/08/1997,24.1
08/08/1997,11.1
08/08/1997,80.8
08/08/1997,96.4
08/08/1997,96.6
08/08/1997,89.9
08/08/1997,94
09/09/1997,634.9
09/09/1997,541
09/09/1997,489.5
09/09/1997,67
09/09/1997,60.1
09/09/1997,47
09/09/1997,70
09/09/1997,45.8
09/09/1997,26.6
09/09/1997,37
09/09/1997,34.8
09/09/1997,14.2
09/09/1997,27
09/09/1997,26
09/09/1997,31.6
09/09/1997,29.6
09/09/1997,28.5
09/09/1997,23.3
09/09/1997,27.6
09/09/1997,17
09/09/1997,102.1
09/09/1997,103
09/09/1997,87.5
09/09/1997,63
09/09/1997,68.3
09/09/1997,97
09/09/1997,108.8
09/09/1997,123.9
09/09/1997,105.8
09/09/1997,123.3
04/10/1997,625.4
04/10/1997,113.2
04/10/1997,291.8
