,Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,Gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus,Crustacea ,Gastropoda,Bivalvia ,Annelidia
Sparus aurata,0.001,0.005,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spondyliosoma cantharus,0,0.005,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicentrarchus punctatus,0,0.005,0.011,0.011,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halobatrachus didactylus,0,0.005,0.011,0.011,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla anguilla,0,0.005,0.011,0.011,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dentex dentex,0,0.005,0.011,0.011,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belone belone,0,0.005,0.011,0.011,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicentrarchus labrax,0,0.005,0.011,0.011,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solea senegalensis,0.001,0.007,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diplodus annullaris,0.001,0.007,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diplodus vulgaris,0.001,0.007,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atherina cf. boyeri,0.001,0.007,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mullus barbatus,0.001,0.007,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diplodus sargus,0.001,0.007,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarpa salpa,0.001,0.007,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labrus sp,0.001,0.01,0.105,0.105,0.105,0.105,0.105,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gobidae sp,0.001,0.01,0.105,0.105,0.105,0.105,0.105,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engraulis encrasicholus,0,0.004,0.014,0.014,0.014,0.014,0.014,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardina pilchardus,0,0.004,0.014,0.014,0.014,0.014,0.014,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelon labrosus,0,0.003,0.006,0.006,0.006,0.006,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crustacea ,0.012,0.82,0.269,0.269,0.269,0.269,0.269,0.269,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.1,0.1,0,0,0.1,0.005,0.005,0,0.004
Gastropoda,0.49,0.103,0.246,0.246,0.246,0.246,0.246,0.246,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.1,0.1,0,0,0.07,0.005,0.005,0,0.005
Bivalvia ,0.488,0.002,0.207,0.207,0.207,0.207,0.207,0.207,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.06,0.06,0,0,0.01,0.01,0.12,0,0.01
Annelidia,0.007,0.036,0.052,0.052,0.052,0.052,0.052,0.052,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.05,0.05,0,0,0.01,0.03,0.06,0,0.011
